timestamp,user_id,role,department,action,patient_id,workstation,status
2025-06-02 08:19:08,kpatel,Nurse,Family Medicine,PRINT_SUMMARY,PT-6006,WS-004,SUCCESS
2025-06-02 08:21:15,tbrown,Billing Specialist,Revenue Cycle,VIEW_LABS,PT-6112,WS-004,SUCCESS
2025-06-02 08:25:00,jchen,Nurse,Cardiology,VIEW_MEDS,PT-6021,WS-011,SUCCESS
2025-06-02 08:29:08,jchen,Nurse,Cardiology,VIEW_LABS,PT-6080,WS-021,SUCCESS
2025-06-02 08:34:08,rsmith,Registration Clerk,Front Desk,VIEW_LABS,PT-6067,WS-017,SUCCESS
2025-06-02 08:34:18,rsmith,Registration Clerk,Front Desk,VIEW_CHART,PT-6102,WS-024,SUCCESS
2025-06-02 08:38:44,tbrown,Billing Specialist,Revenue Cycle,VIEW_CHART,PT-6050,WS-015,SUCCESS
2025-06-02 08:45:14,rsmith,Registration Clerk,Front Desk,PRINT_SUMMARY,PT-6060,WS-022,SUCCESS
2025-06-02 08:48:49,rsmith,Registration Clerk,Front Desk,VIEW_MEDS,PT-6103,WS-021,SUCCESS
2025-06-02 08:49:25,jchen,Nurse,Cardiology,VIEW_MEDS,PT-6053,WS-002,SUCCESS
2025-06-02 08:56:14,kpatel,Nurse,Family Medicine,VIEW_CHART,PT-6026,WS-017,SUCCESS
2025-06-02 09:11:17,mlopez,Physician,Pulmonology,UPDATE_VITALS,PT-6000,WS-005,SUCCESS
2025-06-02 09:11:43,agarcia,Nurse,Endocrinology,UPDATE_VITALS,PT-6048,WS-003,SUCCESS
2025-06-02 09:20:56,tbrown,Billing Specialist,Revenue Cycle,UPDATE_VITALS,PT-6011,WS-024,SUCCESS
2025-06-02 09:23:34,tbrown,Billing Specialist,Revenue Cycle,UPDATE_VITALS,PT-6057,WS-017,SUCCESS
2025-06-02 09:27:08,kpatel,Nurse,Family Medicine,PRINT_SUMMARY,PT-6115,WS-020,SUCCESS
2025-06-02 09:33:08,tbrown,Billing Specialist,Revenue Cycle,UPDATE_VITALS,PT-6100,WS-004,SUCCESS
2025-06-02 09:40:35,kpatel,Nurse,Family Medicine,VIEW_LABS,PT-6103,WS-008,SUCCESS
2025-06-02 09:48:00,mlopez,Physician,Pulmonology,VIEW_MEDS,PT-6106,WS-019,SUCCESS
2025-06-02 09:53:11,rsmith,Registration Clerk,Front Desk,PRINT_SUMMARY,PT-6041,WS-009,SUCCESS
2025-06-02 09:58:16,mlopez,Physician,Pulmonology,VIEW_MEDS,PT-6117,WS-016,SUCCESS
2025-06-02 09:58:41,agarcia,Nurse,Endocrinology,VIEW_CHART,PT-6011,WS-009,SUCCESS
2025-06-02 10:08:33,dwilson,Physician,Orthopedics,VIEW_LABS,PT-6025,WS-010,SUCCESS
2025-06-02 10:14:43,tbrown,Billing Specialist,Revenue Cycle,VIEW_LABS,PT-6104,WS-014,SUCCESS
2025-06-02 10:14:46,dwilson,Physician,Orthopedics,VIEW_CHART,PT-6032,WS-002,SUCCESS
2025-06-02 10:20:02,mlopez,Physician,Pulmonology,VIEW_LABS,PT-6104,WS-014,SUCCESS
2025-06-02 10:28:46,dwilson,Physician,Orthopedics,PRINT_SUMMARY,PT-6086,WS-006,SUCCESS
2025-06-02 10:36:10,jchen,Nurse,Cardiology,VIEW_MEDS,PT-6112,WS-011,SUCCESS
2025-06-02 10:44:32,kpatel,Nurse,Family Medicine,VIEW_LABS,PT-6013,WS-024,SUCCESS
2025-06-02 10:47:30,tbrown,Billing Specialist,Revenue Cycle,VIEW_LABS,PT-6054,WS-003,SUCCESS
2025-06-02 10:49:24,mlopez,Physician,Pulmonology,VIEW_LABS,PT-6088,WS-017,SUCCESS
2025-06-02 10:54:42,tbrown,Billing Specialist,Revenue Cycle,PRINT_SUMMARY,PT-6067,WS-018,SUCCESS
2025-06-02 11:06:41,kpatel,Nurse,Family Medicine,UPDATE_VITALS,PT-6061,WS-023,SUCCESS
2025-06-02 11:07:41,kpatel,Nurse,Family Medicine,VIEW_CHART,PT-6106,WS-022,SUCCESS
2025-06-02 11:12:07,jchen,Nurse,Cardiology,VIEW_MEDS,PT-6074,WS-015,SUCCESS
2025-06-02 11:14:43,rsmith,Registration Clerk,Front Desk,VIEW_MEDS,PT-6084,WS-019,SUCCESS
2025-06-02 11:15:56,mlopez,Physician,Pulmonology,PRINT_SUMMARY,PT-6014,WS-016,SUCCESS
2025-06-02 11:20:27,kpatel,Nurse,Family Medicine,PRINT_SUMMARY,PT-6117,WS-001,SUCCESS
2025-06-02 11:23:29,tbrown,Billing Specialist,Revenue Cycle,UPDATE_VITALS,PT-6070,WS-015,SUCCESS
2025-06-02 11:37:46,mlopez,Physician,Pulmonology,UPDATE_VITALS,PT-6002,WS-015,SUCCESS
2025-06-02 11:45:00,rsmith,Registration Clerk,Front Desk,VIEW_MEDS,PT-6095,WS-003,SUCCESS
2025-06-02 11:45:36,jchen,Nurse,Cardiology,VIEW_LABS,PT-6005,WS-018,SUCCESS
2025-06-02 11:46:44,tbrown,Billing Specialist,Revenue Cycle,VIEW_MEDS,PT-6020,WS-022,SUCCESS
2025-06-02 12:01:38,mlopez,Physician,Pulmonology,UPDATE_VITALS,PT-6078,WS-019,SUCCESS
2025-06-02 12:06:13,dwilson,Physician,Orthopedics,VIEW_CHART,PT-6034,WS-001,SUCCESS
2025-06-02 12:07:51,jchen,Nurse,Cardiology,UPDATE_VITALS,PT-6059,WS-019,SUCCESS
2025-06-02 12:12:20,rsmith,Registration Clerk,Front Desk,VIEW_LABS,PT-6105,WS-007,SUCCESS
2025-06-02 12:12:25,rsmith,Registration Clerk,Front Desk,UPDATE_VITALS,PT-6011,WS-024,SUCCESS
2025-06-02 12:17:07,tbrown,Billing Specialist,Revenue Cycle,VIEW_CHART,PT-6049,WS-011,SUCCESS
2025-06-02 12:20:59,agarcia,Nurse,Endocrinology,UPDATE_VITALS,PT-6046,WS-011,SUCCESS
2025-06-02 12:26:43,dwilson,Physician,Orthopedics,UPDATE_VITALS,PT-6070,WS-014,SUCCESS
2025-06-02 12:40:00,kpatel,Nurse,Family Medicine,VIEW_LABS,PT-6088,WS-020,SUCCESS
2025-06-02 12:41:23,kpatel,Nurse,Family Medicine,VIEW_CHART,PT-6108,WS-016,SUCCESS
2025-06-02 12:41:44,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6083,WS-007,SUCCESS
2025-06-02 12:47:23,tbrown,Billing Specialist,Revenue Cycle,VIEW_CHART,PT-6113,WS-018,SUCCESS
2025-06-02 12:52:17,agarcia,Nurse,Endocrinology,VIEW_CHART,PT-6058,WS-003,SUCCESS
2025-06-02 12:54:48,kpatel,Nurse,Family Medicine,VIEW_CHART,PT-6003,WS-009,SUCCESS
2025-06-02 13:10:14,dwilson,Physician,Orthopedics,VIEW_LABS,PT-6119,WS-015,SUCCESS
2025-06-02 13:12:33,tbrown,Billing Specialist,Revenue Cycle,UPDATE_VITALS,PT-6065,WS-003,SUCCESS
2025-06-02 13:23:27,kpatel,Nurse,Family Medicine,PRINT_SUMMARY,PT-6042,WS-021,SUCCESS
2025-06-02 13:23:57,tbrown,Billing Specialist,Revenue Cycle,VIEW_MEDS,PT-6064,WS-008,SUCCESS
2025-06-02 13:26:21,tbrown,Billing Specialist,Revenue Cycle,PRINT_SUMMARY,PT-6073,WS-016,SUCCESS
2025-06-02 13:29:17,jchen,Nurse,Cardiology,PRINT_SUMMARY,PT-6039,WS-018,SUCCESS
2025-06-02 13:31:56,rsmith,Registration Clerk,Front Desk,VIEW_LABS,PT-6007,WS-024,SUCCESS
2025-06-02 13:33:03,dwilson,Physician,Orthopedics,VIEW_MEDS,PT-6064,WS-010,SUCCESS
2025-06-02 13:34:22,jchen,Nurse,Cardiology,VIEW_CHART,PT-6072,WS-002,SUCCESS
2025-06-02 13:51:16,jchen,Nurse,Cardiology,VIEW_LABS,PT-6047,WS-004,SUCCESS
2025-06-02 13:52:34,jchen,Nurse,Cardiology,UPDATE_VITALS,PT-6043,WS-023,SUCCESS
2025-06-02 13:59:36,jchen,Nurse,Cardiology,PRINT_SUMMARY,PT-6027,WS-002,SUCCESS
2025-06-02 13:59:45,jchen,Nurse,Cardiology,VIEW_CHART,PT-6073,WS-019,SUCCESS
2025-06-02 14:18:09,rsmith,Registration Clerk,Front Desk,VIEW_LABS,PT-6022,WS-005,SUCCESS
2025-06-02 14:21:01,tbrown,Billing Specialist,Revenue Cycle,PRINT_SUMMARY,PT-6077,WS-017,SUCCESS
2025-06-02 14:25:41,jchen,Nurse,Cardiology,VIEW_MEDS,PT-6087,WS-018,SUCCESS
2025-06-02 14:25:45,tbrown,Billing Specialist,Revenue Cycle,VIEW_CHART,PT-6071,WS-002,SUCCESS
2025-06-02 14:30:19,dwilson,Physician,Orthopedics,UPDATE_VITALS,PT-6055,WS-006,SUCCESS
2025-06-02 14:32:38,dwilson,Physician,Orthopedics,PRINT_SUMMARY,PT-6097,WS-007,SUCCESS
2025-06-02 14:33:21,agarcia,Nurse,Endocrinology,VIEW_CHART,PT-6074,WS-017,SUCCESS
2025-06-02 14:36:46,kpatel,Nurse,Family Medicine,UPDATE_VITALS,PT-6077,WS-012,SUCCESS
2025-06-02 14:36:47,dwilson,Physician,Orthopedics,UPDATE_VITALS,PT-6010,WS-020,SUCCESS
2025-06-02 14:47:45,rsmith,Registration Clerk,Front Desk,PRINT_SUMMARY,PT-6095,WS-005,SUCCESS
2025-06-02 14:55:23,tbrown,Billing Specialist,Revenue Cycle,VIEW_LABS,PT-6032,WS-005,SUCCESS
2025-06-02 15:02:47,dwilson,Physician,Orthopedics,UPDATE_VITALS,PT-6076,WS-008,SUCCESS
2025-06-02 15:11:41,agarcia,Nurse,Endocrinology,VIEW_LABS,PT-6010,WS-001,SUCCESS
2025-06-02 15:15:10,dwilson,Physician,Orthopedics,VIEW_LABS,PT-6043,WS-007,SUCCESS
2025-06-02 15:21:15,kpatel,Nurse,Family Medicine,UPDATE_VITALS,PT-6066,WS-012,SUCCESS
2025-06-02 15:23:26,tbrown,Billing Specialist,Revenue Cycle,UPDATE_VITALS,PT-6118,WS-018,SUCCESS
2025-06-02 15:24:18,tbrown,Billing Specialist,Revenue Cycle,VIEW_CHART,PT-6035,WS-002,SUCCESS
2025-06-02 15:38:53,agarcia,Nurse,Endocrinology,VIEW_MEDS,PT-6019,WS-010,SUCCESS
2025-06-02 15:41:23,agarcia,Nurse,Endocrinology,VIEW_LABS,PT-6005,WS-023,SUCCESS
2025-06-02 15:41:51,rsmith,Registration Clerk,Front Desk,VIEW_LABS,PT-6016,WS-001,SUCCESS
2025-06-02 15:45:12,jchen,Nurse,Cardiology,UPDATE_VITALS,PT-6077,WS-003,SUCCESS
2025-06-02 15:58:45,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6114,WS-018,SUCCESS
2025-06-02 16:02:03,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6106,WS-001,SUCCESS
2025-06-02 16:05:51,kpatel,Nurse,Family Medicine,UPDATE_VITALS,PT-6082,WS-003,SUCCESS
2025-06-02 16:16:01,tbrown,Billing Specialist,Revenue Cycle,PRINT_SUMMARY,PT-6057,WS-018,SUCCESS
2025-06-02 16:24:30,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6049,WS-011,SUCCESS
2025-06-02 16:31:57,jchen,Nurse,Cardiology,VIEW_LABS,PT-6010,WS-019,SUCCESS
2025-06-02 16:34:28,mlopez,Physician,Pulmonology,VIEW_MEDS,PT-6050,WS-013,SUCCESS
2025-06-02 16:44:47,agarcia,Nurse,Endocrinology,VIEW_LABS,PT-6116,WS-017,SUCCESS
2025-06-02 16:46:50,rsmith,Registration Clerk,Front Desk,PRINT_SUMMARY,PT-6053,WS-017,SUCCESS
2025-06-02 16:47:36,jchen,Nurse,Cardiology,VIEW_LABS,PT-6013,WS-019,SUCCESS
2025-06-02 16:48:16,agarcia,Nurse,Endocrinology,VIEW_LABS,PT-6051,WS-019,SUCCESS
2025-06-02 16:49:11,kpatel,Nurse,Family Medicine,VIEW_LABS,PT-6025,WS-017,SUCCESS
2025-06-02 16:55:00,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6102,WS-023,SUCCESS
2025-06-02 16:59:14,dwilson,Physician,Orthopedics,VIEW_LABS,PT-6051,WS-012,SUCCESS
2025-06-02 16:59:21,tbrown,Billing Specialist,Revenue Cycle,VIEW_LABS,PT-6090,WS-014,SUCCESS
2025-06-02 17:01:47,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6006,WS-021,SUCCESS
2025-06-02 17:05:06,kpatel,Nurse,Family Medicine,VIEW_MEDS,PT-6116,WS-021,SUCCESS
2025-06-02 17:11:42,tbrown,Billing Specialist,Revenue Cycle,UPDATE_VITALS,PT-6051,WS-005,SUCCESS
2025-06-02 17:14:20,agarcia,Nurse,Endocrinology,VIEW_LABS,PT-6084,WS-023,SUCCESS
2025-06-02 17:16:29,dwilson,Physician,Orthopedics,VIEW_CHART,PT-6033,WS-004,SUCCESS
2025-06-02 17:18:05,jchen,Nurse,Cardiology,UPDATE_VITALS,PT-6053,WS-005,SUCCESS
2025-06-02 17:22:04,mlopez,Physician,Pulmonology,UPDATE_VITALS,PT-6090,WS-014,SUCCESS
2025-06-02 17:29:31,kpatel,Nurse,Family Medicine,PRINT_SUMMARY,PT-6048,WS-005,SUCCESS
2025-06-02 17:42:11,agarcia,Nurse,Endocrinology,VIEW_MEDS,PT-6093,WS-023,SUCCESS
2025-06-02 17:42:47,tbrown,Billing Specialist,Revenue Cycle,VIEW_LABS,PT-6107,WS-015,SUCCESS
2025-06-02 17:45:51,tbrown,Billing Specialist,Revenue Cycle,VIEW_LABS,PT-6091,WS-021,SUCCESS
2025-06-02 17:53:56,kpatel,Nurse,Family Medicine,UPDATE_VITALS,PT-6098,WS-008,SUCCESS
2025-06-02 17:55:02,rsmith,Registration Clerk,Front Desk,VIEW_LABS,PT-6061,WS-006,SUCCESS
2025-06-02 18:04:52,jchen,Nurse,Cardiology,UPDATE_VITALS,PT-6038,WS-008,SUCCESS
2025-06-02 18:07:12,dwilson,Physician,Orthopedics,UPDATE_VITALS,PT-6079,WS-005,SUCCESS
2025-06-02 18:14:58,rsmith,Registration Clerk,Front Desk,VIEW_LABS,PT-6070,WS-018,SUCCESS
2025-06-02 18:22:27,jchen,Nurse,Cardiology,VIEW_MEDS,PT-6083,WS-002,SUCCESS
2025-06-02 18:23:14,kpatel,Nurse,Family Medicine,PRINT_SUMMARY,PT-6003,WS-003,SUCCESS
2025-06-02 18:24:09,mlopez,Physician,Pulmonology,VIEW_CHART,PT-6058,WS-022,SUCCESS
2025-06-02 18:28:41,kpatel,Nurse,Family Medicine,VIEW_MEDS,PT-6103,WS-024,SUCCESS
2025-06-02 18:32:39,jchen,Nurse,Cardiology,VIEW_CHART,PT-6097,WS-018,SUCCESS
2025-06-02 18:36:37,tbrown,Billing Specialist,Revenue Cycle,VIEW_LABS,PT-6095,WS-004,SUCCESS
2025-06-02 18:40:17,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6041,WS-008,SUCCESS
2025-06-02 18:46:57,dwilson,Physician,Orthopedics,VIEW_LABS,PT-6001,WS-003,SUCCESS
2025-06-02 18:50:15,mlopez,Physician,Pulmonology,VIEW_MEDS,PT-6029,WS-005,SUCCESS
2025-06-02 18:51:23,kpatel,Nurse,Family Medicine,UPDATE_VITALS,PT-6010,WS-008,SUCCESS
2025-06-02 18:55:01,mlopez,Physician,Pulmonology,VIEW_MEDS,PT-6036,WS-023,SUCCESS
2025-06-02 18:55:02,kpatel,Nurse,Family Medicine,VIEW_MEDS,PT-6061,WS-016,SUCCESS
2025-06-02 18:55:43,tbrown,Billing Specialist,Revenue Cycle,VIEW_MEDS,PT-6043,WS-014,SUCCESS
2025-06-03 07:00:49,kpatel,Nurse,Family Medicine,PRINT_SUMMARY,PT-6038,WS-015,SUCCESS
2025-06-03 07:02:04,rsmith,Registration Clerk,Front Desk,UPDATE_VITALS,PT-6010,WS-012,SUCCESS
2025-06-03 07:02:31,agarcia,Nurse,Endocrinology,VIEW_MEDS,PT-6059,WS-008,SUCCESS
2025-06-03 07:08:58,jchen,Nurse,Cardiology,VIEW_CHART,PT-6062,WS-009,SUCCESS
2025-06-03 07:22:39,dwilson,Physician,Orthopedics,VIEW_MEDS,PT-6070,WS-016,SUCCESS
2025-06-03 07:22:57,rsmith,Registration Clerk,Front Desk,VIEW_MEDS,PT-6107,WS-012,SUCCESS
2025-06-03 07:25:05,tbrown,Billing Specialist,Revenue Cycle,VIEW_CHART,PT-6102,WS-002,SUCCESS
2025-06-03 07:26:58,dwilson,Physician,Orthopedics,UPDATE_VITALS,PT-6018,WS-002,SUCCESS
2025-06-03 07:27:27,agarcia,Nurse,Endocrinology,UPDATE_VITALS,PT-6015,WS-013,SUCCESS
2025-06-03 07:29:35,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6107,WS-022,SUCCESS
2025-06-03 07:31:22,tbrown,Billing Specialist,Revenue Cycle,UPDATE_VITALS,PT-6118,WS-009,SUCCESS
2025-06-03 07:37:13,agarcia,Nurse,Endocrinology,VIEW_LABS,PT-6082,WS-013,SUCCESS
2025-06-03 07:45:33,dwilson,Physician,Orthopedics,VIEW_CHART,PT-6101,WS-013,SUCCESS
2025-06-03 07:46:47,mlopez,Physician,Pulmonology,VIEW_MEDS,PT-6111,WS-019,SUCCESS
2025-06-03 07:48:33,rsmith,Registration Clerk,Front Desk,VIEW_MEDS,PT-6025,WS-010,SUCCESS
2025-06-03 07:54:07,kpatel,Nurse,Family Medicine,PRINT_SUMMARY,PT-6115,WS-016,SUCCESS
2025-06-03 07:55:00,mlopez,Physician,Pulmonology,VIEW_MEDS,PT-6096,WS-009,SUCCESS
2025-06-03 07:55:15,jchen,Nurse,Cardiology,UPDATE_VITALS,PT-6098,WS-002,SUCCESS
2025-06-03 07:56:53,tbrown,Billing Specialist,Revenue Cycle,VIEW_LABS,PT-6050,WS-006,SUCCESS
2025-06-03 08:03:11,tbrown,Billing Specialist,Revenue Cycle,VIEW_MEDS,PT-6025,WS-012,SUCCESS
2025-06-03 08:04:06,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6118,WS-012,SUCCESS
2025-06-03 08:05:01,jchen,Nurse,Cardiology,PRINT_SUMMARY,PT-6033,WS-012,SUCCESS
2025-06-03 08:05:37,dwilson,Physician,Orthopedics,VIEW_LABS,PT-6050,WS-023,SUCCESS
2025-06-03 08:11:36,kpatel,Nurse,Family Medicine,UPDATE_VITALS,PT-6067,WS-019,SUCCESS
2025-06-03 08:17:13,tbrown,Billing Specialist,Revenue Cycle,VIEW_MEDS,PT-6099,WS-013,SUCCESS
2025-06-03 08:18:19,agarcia,Nurse,Endocrinology,VIEW_MEDS,PT-6096,WS-007,SUCCESS
2025-06-03 08:18:24,kpatel,Nurse,Family Medicine,VIEW_MEDS,PT-6010,WS-018,SUCCESS
2025-06-03 08:27:03,mlopez,Physician,Pulmonology,UPDATE_VITALS,PT-6000,WS-011,SUCCESS
2025-06-03 08:28:36,agarcia,Nurse,Endocrinology,VIEW_LABS,PT-6092,WS-007,SUCCESS
2025-06-03 08:31:37,kpatel,Nurse,Family Medicine,VIEW_MEDS,PT-6090,WS-016,SUCCESS
2025-06-03 08:35:32,tbrown,Billing Specialist,Revenue Cycle,VIEW_MEDS,PT-6023,WS-001,SUCCESS
2025-06-03 08:35:42,tbrown,Billing Specialist,Revenue Cycle,VIEW_MEDS,PT-6079,WS-022,SUCCESS
2025-06-03 08:41:18,mlopez,Physician,Pulmonology,UPDATE_VITALS,PT-6048,WS-011,SUCCESS
2025-06-03 08:46:08,jchen,Nurse,Cardiology,UPDATE_VITALS,PT-6083,WS-024,SUCCESS
2025-06-03 09:11:44,agarcia,Nurse,Endocrinology,VIEW_LABS,PT-6005,WS-013,SUCCESS
2025-06-03 09:13:18,dwilson,Physician,Orthopedics,UPDATE_VITALS,PT-6009,WS-007,SUCCESS
2025-06-03 09:13:34,rsmith,Registration Clerk,Front Desk,PRINT_SUMMARY,PT-6095,WS-015,SUCCESS
2025-06-03 09:15:32,dwilson,Physician,Orthopedics,VIEW_CHART,PT-6050,WS-009,SUCCESS
2025-06-03 09:18:01,kpatel,Nurse,Family Medicine,UPDATE_VITALS,PT-6028,WS-020,SUCCESS
2025-06-03 09:19:45,rsmith,Registration Clerk,Front Desk,VIEW_MEDS,PT-6010,WS-009,SUCCESS
2025-06-03 09:22:37,rsmith,Registration Clerk,Front Desk,UPDATE_VITALS,PT-6094,WS-017,SUCCESS
2025-06-03 09:23:25,dwilson,Physician,Orthopedics,VIEW_LABS,PT-6023,WS-008,SUCCESS
2025-06-03 09:26:51,dwilson,Physician,Orthopedics,UPDATE_VITALS,PT-6004,WS-020,SUCCESS
2025-06-03 09:39:26,rsmith,Registration Clerk,Front Desk,UPDATE_VITALS,PT-6013,WS-020,SUCCESS
2025-06-03 09:41:08,kpatel,Nurse,Family Medicine,VIEW_LABS,PT-6066,WS-022,SUCCESS
2025-06-03 09:43:17,rsmith,Registration Clerk,Front Desk,VIEW_CHART,PT-6089,WS-011,SUCCESS
2025-06-03 09:44:02,rsmith,Registration Clerk,Front Desk,VIEW_MEDS,PT-6118,WS-012,SUCCESS
2025-06-03 09:47:27,kpatel,Nurse,Family Medicine,VIEW_CHART,PT-6082,WS-023,SUCCESS
2025-06-03 09:47:40,dwilson,Physician,Orthopedics,VIEW_CHART,PT-6024,WS-020,SUCCESS
2025-06-03 09:49:01,rsmith,Registration Clerk,Front Desk,VIEW_LABS,PT-6003,WS-014,SUCCESS
2025-06-03 09:49:02,jchen,Nurse,Cardiology,VIEW_LABS,PT-6029,WS-024,SUCCESS
2025-06-03 09:49:09,tbrown,Billing Specialist,Revenue Cycle,PRINT_SUMMARY,PT-6108,WS-022,SUCCESS
2025-06-03 09:49:33,dwilson,Physician,Orthopedics,UPDATE_VITALS,PT-6113,WS-019,SUCCESS
2025-06-03 09:51:50,kpatel,Nurse,Family Medicine,VIEW_MEDS,PT-6071,WS-022,SUCCESS
2025-06-03 09:58:03,tbrown,Billing Specialist,Revenue Cycle,VIEW_CHART,PT-6083,WS-002,SUCCESS
2025-06-03 09:59:27,agarcia,Nurse,Endocrinology,VIEW_MEDS,PT-6084,WS-012,SUCCESS
2025-06-03 09:59:30,mlopez,Physician,Pulmonology,UPDATE_VITALS,PT-6055,WS-017,SUCCESS
2025-06-03 10:05:03,tbrown,Billing Specialist,Revenue Cycle,VIEW_CHART,PT-6115,WS-020,SUCCESS
2025-06-03 10:07:09,dwilson,Physician,Orthopedics,VIEW_CHART,PT-6013,WS-021,SUCCESS
2025-06-03 10:15:14,dwilson,Physician,Orthopedics,UPDATE_VITALS,PT-6085,WS-010,SUCCESS
2025-06-03 10:23:58,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6021,WS-003,SUCCESS
2025-06-03 10:25:35,jchen,Nurse,Cardiology,VIEW_MEDS,PT-6059,WS-004,SUCCESS
2025-06-03 10:34:07,tbrown,Billing Specialist,Revenue Cycle,PRINT_SUMMARY,PT-6117,WS-021,SUCCESS
2025-06-03 10:37:09,agarcia,Nurse,Endocrinology,VIEW_CHART,PT-6116,WS-016,SUCCESS
2025-06-03 10:38:43,kpatel,Nurse,Family Medicine,VIEW_LABS,PT-6080,WS-009,SUCCESS
2025-06-03 10:46:27,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6118,WS-021,SUCCESS
2025-06-03 10:47:13,mlopez,Physician,Pulmonology,UPDATE_VITALS,PT-6100,WS-014,SUCCESS
2025-06-03 11:03:30,kpatel,Nurse,Family Medicine,VIEW_CHART,PT-6063,WS-009,SUCCESS
2025-06-03 11:04:07,tbrown,Billing Specialist,Revenue Cycle,UPDATE_VITALS,PT-6042,WS-020,SUCCESS
2025-06-03 11:06:12,kpatel,Nurse,Family Medicine,VIEW_CHART,PT-6040,WS-008,SUCCESS
2025-06-03 11:16:46,tbrown,Billing Specialist,Revenue Cycle,UPDATE_VITALS,PT-6105,WS-014,SUCCESS
2025-06-03 11:22:15,tbrown,Billing Specialist,Revenue Cycle,VIEW_MEDS,PT-6003,WS-021,SUCCESS
2025-06-03 11:25:10,kpatel,Nurse,Family Medicine,PRINT_SUMMARY,PT-6025,WS-001,SUCCESS
2025-06-03 11:28:00,dwilson,Physician,Orthopedics,VIEW_LABS,PT-6057,WS-020,SUCCESS
2025-06-03 11:38:31,jchen,Nurse,Cardiology,VIEW_LABS,PT-6009,WS-019,SUCCESS
2025-06-03 11:39:17,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6088,WS-006,SUCCESS
